lipid_class,rt_win_max,rt_win_min
d9_DGTS,8.95,6.95
dG_AEG,15,1.5
dG_DAG,15,1.5
dG_DEG,15,1.5
dG_G_AEG,25,10
dG_G_DAG,25,10
dG_G_DEG,25,10
dG_G_MAG,25,10
dG_G_MEG,25,10
dG_MAG,15,1.5
dG_MEG,15,1.5
DGCC_AEG,20,5
DGCC_DAG,20,5
DGCC_DEG,20,5
DGCC_MAG,20,5
DGCC_MEG,20,5
DGTS_DGTA_AEG,15,5
DGTS_DGTA_DAG,15,5
DGTS_DGTA_DEG,15,5
DGTS_DGTA_MAG,15,5
DGTS_DGTA_MEG,15,5
DPG_QAG,25,10
DPG_QEG,25,10
DPG_TAG,25,10
DPG_TEG,25,10
FL,25,5
G_DPG_QAG,25,10
G_DPG_QEG,25,10
G_DPG_TAG,25,10
G_DPG_TEG,25,10
G_GA_AEG,20,5
G_GA_DAG,20,5
G_GA_DEG,20,5
G_GA_MAG,20,5
G_GA_MEG,20,5
G_MeNG_G_P_AEG,25,10
G_MeNG_G_P_DAG,25,10
G_MeNG_G_P_DEG,25,10
G_MeNG_G_P_MAG,25,10
G_MeNG_G_P_MEG,25,10
G_NAcG_G_DAG,25,10
G_NAcG_G_DEG_alkanediol,25,10
G_NG_AEG,25,10
G_NG_DAG,25,10
G_NG_DEG,25,10
G_NG_G_P_AEG,25,10
G_NG_G_P_DAG,25,10
G_NG_G_P_DEG,25,10
G_NG_G_P_MAG,25,10
G_NG_G_P_MEG,25,10
G_NG_MAG,25,10
G_NG_MEG,25,10
GA_AEG,15,5
GA_Cer,15,5
GA_DAG,15,5
GA_DEG,15,5
GA_MAG,15,5
GA_MEG,15,5
GL,20,5
LL,20,5
LPG_AEG,20,5
LPG_DAG,20,5
LPG_DEG,20,5
LPG_MAG,20,5
LPG_MEG,20,5
Me_LL,20,5
Me_OL,20,5
MeG_2G_AEG,25,10
MeG_2G_DAG,25,10
MeG_2G_DEG,25,10
MeG_2G_MAG,25,10
MeG_2G_MEG,25,10
MeG_AEG,10,1.5
MeG_DAG,10,1.5
MeG_DEG,10,1.5
MeG_G_AEG,20,10
MeG_G_DAG,20,10
MeG_G_DEG,20,10
MeG_G_MAG,20,10
MeG_G_MEG,20,10
MeG_MAG,10,1.5
MeG_MEG,10,1.5
MeNG_G_P_AEG,25,10
MeNG_G_P_DAG,25,10
MeNG_G_P_DEG,25,10
MeNG_G_P_MAG,25,10
MeNG_G_P_MEG,25,10
NAcG_G_DAG,20,5
NAcG_G_DEG_alkanediol,20,5
NAcG_P_DAG,20,5
NAcG_P_DEG_alkanediol,20,5
NAcPE_AEG,25,10
NAcPE_DAG,25,10
NAcPE_DEG,25,10
NAcPE_MAG,25,10
NAcPE_MEG,25,10
NAPE_TAG,25,10
NG_AEG,20,10
NG_DAG,20,10
NG_DEG,20,10
NG_G_P_AEG,25,10
NG_G_P_DAG,25,10
NG_G_P_DEG,25,10
NG_G_P_MAG,25,10
NG_G_P_MEG,25,10
NG_GA_AEG,25,10
NG_GA_DAG,25,10
NG_GA_DEG,25,10
NG_GA_MAG,25,10
NG_GA_MEG,25,10
NG_MAG,20,10
NG_MEG,20,10
OH-LL,20,5
OH-OL,20,5
OL,20,5
OPG_AEG,20,5
OPG_DAG,20,5
OPG_DEG,20,5
OPG_MAG,20,5
OPG_MEG,20,5
PA_AEG,20,10
PA_DAG,20,10
PA_DEG,20,10
PA_MAG,20,10
PA_MEG,20,10
PAGPE_TAG,25,10
PC_AEG,20,5
PC_Cer,20,5
PC_DAG,20,5
PC_DEG,20,5
PC_MAG,20,5
PC_MEG,20,5
PDME_AEG,20,5
PDME_DAG,20,5
PDME_DEG,20,5
PDME_MAG,20,5
PDME_MEG,20,5
PE_AEG,20,5
PE_Cer,20,5
PE_DAG,20,5
PE_DEG,20,5
PE_MAG,20,5
PE_MEG,20,5
PG_AEG,15,5
PG_Cer,15,5
PG_DAG,15,5
PG_DEG,15,5
PG_MAG,15,5
PG_MEG,15,5
PI_AEG,20,10
PI_Cer,20,10
PI_DAG,20,10
PI_DEG,20,10
PI_MAG,20,10
PI_MEG,20,10
PME_AEG,20,5
PME_DAG,20,5
PME_DEG,20,5
PME_MAG,20,5
PME_MEG,20,5
PS_AEG,20,10
PS_DAG,20,10
PS_DEG,20,10
PS_MAG,20,10
PS_MEG,20,10
SQ_AEG,15,5
SQ_DAG,15,5
SQ_DEG,15,5
SQ_MAG,15,5
SQ_MEG,15,5
