""	"04.RNA1"	"04.RNA2"	"104.1"	"104.2"	"104.3"	"104.RNA1"	"104.RNA2"	"104.RNA3"	"105.1"	"105.2"	"105.3"	"105.RNA1"	"105.RNA2"	"105.RNA3"	"14B.1"	"14B.2"	"14B.3"	"14B.4"	"14B.RNA1"	"14B.RNA2"	"14B.RNA3"	"14B.RNA4"	"14C.1"	"14C.2"	"14C.3"	"14C.RNA1"	"14C.RNA2"	"14C.RNA3"	"188.1"	"188.2"	"188.3"	"188.4"	"188.5"	"188.6"	"188.7"	"188.RNA1"	"188.RNA2"	"188.RNA3"	"188.RNA4"	"188.RNA5"	"188.RNA6"	"188.RNA7"	"4.1"	"4.2"	"55.1"	"55.2"	"55.3"	"55.4"	"55.RNA1"	"55.RNA2"	"55.RNA3"	"55.RNA4"	"71A.1"	"71A.2"	"71A.3"	"71A.RNA1"	"71A.RNA2"	"71A.RNA3"	"71B.1"	"71B.RNA4"	"BA1.1"	"BA1.2"	"BA1.3"	"BA1.DF1"	"BA1.DF2"	"BA1.DF.RNA1"	"BA1.DF.RNA2"	"BA1.RNA1"	"BA1.RNA2"	"BA1.RNA3"	"BT1B.1"	"BT1B.2"	"BT1B.3"	"BT1BCont.1"	"BT1BCont.2"	"BT1BCont.3"	"BT1BCont.RNA1"	"BT1BCont.RNA2"	"BT1BCont.RNA3"	"BT1B.RNA1"	"BT1B.RNA2"	"BT1B.RNA3"	"ExtC.1"	"ExtC.2"	"ExtC.3"	"ExtC.4"	"ExtC.5"	"ExtC.6"	"ExtC.RNA1"	"ExtC.RNA2"	"ExtC.RNA3"	"ExtC.RNA4"	"ExtC.RNA5"	"ExtC.RNA6"	"GT3.1"	"GT3.2"	"GT3.3"	"GT3Cont.1"	"GT3Cont.2"	"GT3Cont.3"	"GT3Cont.RNA1"	"GT3Cont.RNA2"	"GT3Cont.RNA3"	"GT3.RNA1"	"GT3.RNA2"	"GT3.RNA3"	"Inhib.C"	"Mmix.C"	"N.PCR.C"	"P.PCR.C"	"QB.1"	"QB.2"	"QB.3"	"QB.RNA1"	"QB.RNA2"	"QB.RNA3"	"QW.1"	"QW.2"	"QW.3"	"QW.RNA1"	"QW.RNA2"	"QW.RNA3"	"Rain"	"Rain.RNA"	"RSawWat"	"RSawWat.RNA"	"Rtneg.C"
"ASV_23"	234	53	0	0	0	0	0	0	0	0	0	0	0	0	254	143	152	100	135	133	71	21	0	163	0	0	175	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	706	783	0	0	0	22	175	0	0	0	565	738	530	382	96	0	795	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1860	873	804	383	411	207	323	179	89	716	93	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_25"	0	0	342	476	33	1002	958	209	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0	0	693	0	0	0	188	305	0	1590	381	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	423	511	1159	729	1003	896	77	133	37	59	86	223	219	0	0	0	0	0	0	0	0	0	0	24	24	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1745	860	700	385	475	216	327	148	0	803	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	245	25	394	0	5	0	0	0	0	0	20	49	104	0	324	0	0	0	0	0	0	0	0	4263	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	7	0	0	0	0	0
"ASV_29"	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	833	648	8	11	0	1373	1372	838	108	0	0	0	0	0	0	0
"ASV_30"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0	0	0	0	25	0	50	0	0	0	0	0	0	0	5111	0	35	0	57	0	0	0	0	0	0	5	0	0	0	0	13	0	265	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
"ASV_31"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	861	916	24	24	0	895	881	725	126	0	0	0	0	0	0	0
"ASV_32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	731	686	213	115	58	719	767	825	173	0	0	0	0	0	0	0
