mtc,id,diagnostic,type2,type1
327.2529863,FA 19:1 +2O,FA 19:1 +2O,fatty_acid,frag
343.2479009,FA 19:1 +3O,FA 19:1 +3O,fatty_acid,frag
293.247507,FA 19:2,FA 19:2,fatty_acid,frag
309.2424216,FA 19:2 +1O,FA 19:2 +1O,fatty_acid,frag
325.2373362,FA 19:2 +2O,FA 19:2 +2O,fatty_acid,frag
341.2322508,FA 19:2 +3O,FA 19:2 +3O,fatty_acid,frag
291.2318569,FA 19:3,FA 19:3,fatty_acid,frag
307.2267715,FA 19:3 +1O,FA 19:3 +1O,fatty_acid,frag
323.2216861,FA 19:3 +2O,FA 19:3 +2O,fatty_acid,frag
339.2166008,FA 19:3 +3O,FA 19:3 +3O,fatty_acid,frag
289.2162068,FA 19:4,FA 19:4,fatty_acid,frag
305.2111214,FA 19:4 +1O,FA 19:4 +1O,fatty_acid,frag
321.2060361,FA 19:4 +2O,FA 19:4 +2O,fatty_acid,frag
337.2009507,FA 19:4 +3O,FA 19:4 +3O,fatty_acid,frag
311.2944572,FA 20:0,FA 20:0,fatty_acid,frag
327.2893718,FA 20:0 +1O,FA 20:0 +1O,fatty_acid,frag
343.2842865,FA 20:0 +2O,FA 20:0 +2O,fatty_acid,frag
359.2792011,FA 20:0 +3O,FA 20:0 +3O,fatty_acid,frag
309.2788071,FA 20:1,FA 20:1,fatty_acid,frag
325.2737218,FA 20:1 +1O,FA 20:1 +1O,fatty_acid,frag
341.2686364,FA 20:1 +2O,FA 20:1 +2O,fatty_acid,frag
357.263551,FA 20:1 +3O,FA 20:1 +3O,fatty_acid,frag
307.2631571,FA 20:2,FA 20:2,fatty_acid,frag
323.2580717,FA 20:2 +1O,FA 20:2 +1O,fatty_acid,frag
339.2529863,FA 20:2 +2O,FA 20:2 +2O,fatty_acid,frag
355.2479009,FA 20:2 +3O,FA 20:2 +3O,fatty_acid,frag
305.247507,FA 20:3,FA 20:3,fatty_acid,frag
321.2424216,FA 20:3 +1O,FA 20:3 +1O,fatty_acid,frag
337.2373362,FA 20:3 +2O,FA 20:3 +2O,fatty_acid,frag
353.2322508,FA 20:3 +3O,FA 20:3 +3O,fatty_acid,frag
303.2318569,FA 20:4,FA 20:4,fatty_acid,frag
319.2267715,FA 20:4 +1O,FA 20:4 +1O,fatty_acid,frag
335.2216861,FA 20:4 +2O,FA 20:4 +2O,fatty_acid,frag
351.2166008,FA 20:4 +3O,FA 20:4 +3O,fatty_acid,frag
325.3101073,FA 21:0,FA 21:0,fatty_acid,frag
