mass,note,id,diagnostic,type1,type2
439.11,NL S-2G + NH3 + H2O,NL S_DG +  H2O,S_DG,nl,hydroxyl_hg
455.11,NL BaleS1 + H2O,NL BaleS1 + H2O,BaleS1,nl,hydroxyl_hg
536.11,NL BaleS2 + H2O,NL BaleS2 + H2O,BaleS2,nl,hydroxyl_hg
193.11,NL MeNG + H2O,NL MeNG_MG_P + H2O,MeNG_MG_P,nl,hydroxyl_hg
355.11,NL G-MeNG + H2O,NL MG_MeNG_MG_P + H2O,MG_MeNG_MG_P,nl,hydroxyl_hg
517.21,NL G-MeNG-G + H2O,NL MG_MeNG_MG_P + H2O,MG_MeNG_MG_P,nl,hydroxyl_hg
503.21,NL G-NG-G + H2O,NL MG_NG_MG_P + H2O,MG_NG_MG_P,nl,hydroxyl_hg
355.11,NL MeNG-G + H2O,NL MeNG_MG_P + H2O,MeNG_MG_P,nl,hydroxyl_hg
221.11,NL NAcG + H2O,NL PGNAc + H2O,PGNAc,nl,hydroxyl_hg
221.11,NL NAcG + H2O,NL NAcG_P + H2O,NAcG_P,nl,hydroxyl_hg
341.11,NL NG-G + H2O,NL NG_MG_P + H2O,NG_MG_P,nl,hydroxyl_hg
295.01,NL PI + NH3 + H2O,NL PI + H2O,PI,nl,hydroxyl_hg
278.01,NL PI - O + NH3 or NL PI (+H2O),NL PI + H2O,PI,nl,hydroxyl_hg
151.11,NL APT + H2O,NL APT_ether + H2O,APT,nl,hydroxyl_hg
249.11,NL phosphoAPT + H2O,NL APT_ester _+ H2O,APT,nl,hydroxyl_hg
334.11,NL PG-G hg,NL PG_MG + H2O,PG_MG,nl,hydroxyl_hg
254.11,NL PG-G hg without loss of phosphate + H2O,NL PG_MG + H2O,PG_MG,nl,hydroxyl_hg
252.11,NL PGP hg + H2O,NL PGP + H2O,PGP,nl,hydroxyl_hg
172.11,NL PG hg + H2O,NL PG + H2O,PG,nl,hydroxyl_hg
159.11,NL PE hg + H2O,NL PE_ester + H2O,PE,nl,hydroxyl_hg
159.11,NL PE hg + H2O,NL PAGPE + H2O,PAGPE,nl,hydroxyl_hg
318.11,NL LPG hg + H2O,NL LPG + H2O,LPG,nl,hydroxyl_hg
261.11,NL AlPG hg + H2O,NL AlPG + H2O,AlPG,nl,hydroxyl_hg
346.11,NL ArPG hg + H2O,NL ArPG + H2O,ArPG,nl,hydroxyl_hg
304.11,NL OPG hg + H2O,NL OPG + H2O,OPG,nl,hydroxyl_hg
201.11,NL NAcPE hg + H2O,NL NAcPE + H2O,NAcPE,nl,hydroxyl_hg
187.11,NL PDME hg + H2O,NL PDME + H2O,PDME,nl,hydroxyl_hg
173.11,NL PME hg + H2O,NL PME + H2O,PME,nl,hydroxyl_hg
207.11,NL PG + NH3 + H2O,NL PG + H2O,PG,nl,hydroxyl_hg
203.11,NL PS hg + H2O,NL PS + H2O,PS,nl,hydroxyl_hg
