mass,id,diagnostic,type2,type1
270.2189514,FA 16:1 +1O,FA 16:1 +1O,fatty_acid,nl
286.2138661,FA 16:1 +2O,FA 16:1 +2O,fatty_acid,nl
302.2087807,FA 16:1 +3O,FA 16:1 +3O,fatty_acid,nl
252.2083867,FA 16:2,FA 16:2,fatty_acid,nl
268.2033014,FA 16:2 +1O,FA 16:2 +1O,fatty_acid,nl
284.198216,FA 16:2 +2O,FA 16:2 +2O,fatty_acid,nl
300.1931306,FA 16:2 +3O,FA 16:2 +3O,fatty_acid,nl
250.1927367,FA 16:3,FA 16:3,fatty_acid,nl
266.1876513,FA 16:3 +1O,FA 16:3 +1O,fatty_acid,nl
282.1825659,FA 16:3 +2O,FA 16:3 +2O,fatty_acid,nl
298.1774805,FA 16:3 +3O,FA 16:3 +3O,fatty_acid,nl
270.255337,FA 17:0,FA 17:0,fatty_acid,nl
286.2502516,FA 17:0 +1O,FA 17:0 +1O,fatty_acid,nl
302.2451662,FA 17:0 +2O,FA 17:0 +2O,fatty_acid,nl
318.2400808,FA 17:0 +3O,FA 17:0 +3O,fatty_acid,nl
268.2396869,FA 17:1,FA 17:1,fatty_acid,nl
284.2346015,FA 17:1 +1O,FA 17:1 +1O,fatty_acid,nl
300.2295161,FA 17:1 +2O,FA 17:1 +2O,fatty_acid,nl
316.2244308,FA 17:1 +3O,FA 17:1 +3O,fatty_acid,nl
266.2240368,FA 17:2,FA 17:2,fatty_acid,nl
282.2189514,FA 17:2 +1O,FA 17:2 +1O,fatty_acid,nl
298.2138661,FA 17:2 +2O,FA 17:2 +2O,fatty_acid,nl
314.2087807,FA 17:2 +3O,FA 17:2 +3O,fatty_acid,nl
264.2083867,FA 17:3,FA 17:3,fatty_acid,nl
280.2033014,FA 17:3 +1O,FA 17:3 +1O,fatty_acid,nl
296.198216,FA 17:3 +2O,FA 17:3 +2O,fatty_acid,nl
312.1931306,FA 17:3 +3O,FA 17:3 +3O,fatty_acid,nl
262.1927367,FA 17:4,FA 17:4,fatty_acid,nl
278.1876513,FA 17:4 +1O,FA 17:4 +1O,fatty_acid,nl
294.1825659,FA 17:4 +2O,FA 17:4 +2O,fatty_acid,nl
310.1774805,FA 17:4 +3O,FA 17:4 +3O,fatty_acid,nl
284.2709871,FA 18:0,FA 18:0,fatty_acid,nl
300.2659017,FA 18:0 +1O,FA 18:0 +1O,fatty_acid,nl
316.2608163,FA 18:0 +2O,FA 18:0 +2O,fatty_acid,nl
332.2557309,FA 18:0 +3O,FA 18:0 +3O,fatty_acid,nl
282.255337,FA 18:1,FA 18:1,fatty_acid,nl
298.2502516,FA 18:1 +1O,FA 18:1 +1O,fatty_acid,nl
314.2451662,FA 18:1 +2O,FA 18:1 +2O,fatty_acid,nl
330.2400808,FA 18:1 +3O,FA 18:1 +3O,fatty_acid,nl
280.2396869,FA 18:2,FA 18:2,fatty_acid,nl
296.2346015,FA 18:2 +1O,FA 18:2 +1O,fatty_acid,nl
312.2295161,FA 18:2 +2O,FA 18:2 +2O,fatty_acid,nl
328.2244308,FA 18:2 +3O,FA 18:2 +3O,fatty_acid,nl
278.2240368,FA 18:3,FA 18:3,fatty_acid,nl
294.2189514,FA 18:3 +1O,FA 18:3 +1O,fatty_acid,nl
310.2138661,FA 18:3 +2O,FA 18:3 +2O,fatty_acid,nl
326.2087807,FA 18:3 +3O,FA 18:3 +3O,fatty_acid,nl
276.2083867,FA 18:4,FA 18:4,fatty_acid,nl
292.2033014,FA 18:4 +1O,FA 18:4 +1O,fatty_acid,nl
308.198216,FA 18:4 +2O,FA 18:4 +2O,fatty_acid,nl
324.1931306,FA 18:4 +3O,FA 18:4 +3O,fatty_acid,nl
298.2866371,FA 19:0,FA 19:0,fatty_acid,nl
314.2815518,FA 19:0 +1O,FA 19:0 +1O,fatty_acid,nl
330.2764664,FA 19:0 +2O,FA 19:0 +2O,fatty_acid,nl
346.271381,FA 19:0 +3O,FA 19:0 +3O,fatty_acid,nl
296.2709871,FA 19:1,FA 19:1,fatty_acid,nl
312.2659017,FA 19:1 +1O,FA 19:1 +1O,fatty_acid,nl
328.2608163,FA 19:1 +2O,FA 19:1 +2O,fatty_acid,nl
344.2557309,FA 19:1 +3O,FA 19:1 +3O,fatty_acid,nl
294.255337,FA 19:2,FA 19:2,fatty_acid,nl
310.2502516,FA 19:2 +1O,FA 19:2 +1O,fatty_acid,nl
326.2451662,FA 19:2 +2O,FA 19:2 +2O,fatty_acid,nl
342.2400808,FA 19:2 +3O,FA 19:2 +3O,fatty_acid,nl
292.2396869,FA 19:3,FA 19:3,fatty_acid,nl
308.2346015,FA 19:3 +1O,FA 19:3 +1O,fatty_acid,nl
324.2295161,FA 19:3 +2O,FA 19:3 +2O,fatty_acid,nl
340.2244308,FA 19:3 +3O,FA 19:3 +3O,fatty_acid,nl
290.2240368,FA 19:4,FA 19:4,fatty_acid,nl
306.2189514,FA 19:4 +1O,FA 19:4 +1O,fatty_acid,nl
322.2138661,FA 19:4 +2O,FA 19:4 +2O,fatty_acid,nl
338.2087807,FA 19:4 +3O,FA 19:4 +3O,fatty_acid,nl
312.3022872,FA 20:0,FA 20:0,fatty_acid,nl
328.2972018,FA 20:0 +1O,FA 20:0 +1O,fatty_acid,nl
344.2921165,FA 20:0 +2O,FA 20:0 +2O,fatty_acid,nl
360.2870311,FA 20:0 +3O,FA 20:0 +3O,fatty_acid,nl
310.2866371,FA 20:1,FA 20:1,fatty_acid,nl
326.2815518,FA 20:1 +1O,FA 20:1 +1O,fatty_acid,nl
342.2764664,FA 20:1 +2O,FA 20:1 +2O,fatty_acid,nl
358.271381,FA 20:1 +3O,FA 20:1 +3O,fatty_acid,nl
308.2709871,FA 20:2,FA 20:2,fatty_acid,nl
324.2659017,FA 20:2 +1O,FA 20:2 +1O,fatty_acid,nl
340.2608163,FA 20:2 +2O,FA 20:2 +2O,fatty_acid,nl
356.2557309,FA 20:2 +3O,FA 20:2 +3O,fatty_acid,nl
306.255337,FA 20:3,FA 20:3,fatty_acid,nl
322.2502516,FA 20:3 +1O,FA 20:3 +1O,fatty_acid,nl
338.2451662,FA 20:3 +2O,FA 20:3 +2O,fatty_acid,nl
354.2400808,FA 20:3 +3O,FA 20:3 +3O,fatty_acid,nl
304.2396869,FA 20:4,FA 20:4,fatty_acid,nl
320.2346015,FA 20:4 +1O,FA 20:4 +1O,fatty_acid,nl
336.2295161,FA 20:4 +2O,FA 20:4 +2O,fatty_acid,nl
352.2244308,FA 20:4 +3O,FA 20:4 +3O,fatty_acid,nl
326.3179373,FA 21:0,FA 21:0,fatty_acid,nl
